PROVINCIA;MUNICIPIO;ESTACION;TIPO_ESTACION;TIPO_AREA;MAGNITUD;PUNTO_MUESTREO;ANNO;MES;DIA;H01;H02;H03;H04;H05;H06;H07;H08;H09;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20;H21;H22;H23;H24
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;28;16.0;17.0;14.0;14.0;20.0;25.0;28.0;31.0;29.0;23.0;28.0;19.0;12.0;7.0;5.0;8.0;9.0;12.0;20.0;26.0;20.0;5.0;15.0;4.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;29;20.0;23.0;17.0;19.0;29.0;29.0;38.0;48.0;50.0;48.0;38.0;25.0;28.0;21.0;14.0;19.0;6.0;9.0;9.0;5.0;5.0;14.0;6.0;9.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;1;30;5.0;2.0;7.0;7.0;6.0;9.0;12.0;25.0;34.0;35.0;25.0;24.0;19.0;8.0;6.0;15.0;17.0;12.0;10.0;12.0;8.0;5.0;1.0;5.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;2;2;8.0;18.0;10.0;3.0;2.0;2.0;6.0;11.0;8.0;8.0;11.0;8.0;10.0;7.0;7.0;5.0;7.0;8.0;2.0;5.0;7.0;12.0;20.0;28.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;2;3;32.0;24.0;15.0;8.0;6.0;3.0;4.0;4.0;9.0;9.0;8.0;11.0;11.0;9.0;6.0;6.0;8.0;4.0;3.0;6.0;4.0;5.0;8.0;7.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;2;5;57.0;36.0;33.0;33.0;32.0;28.0;31.0;36.0;42.0;40.0;32.0;31.0;28.0;25.0;17.0;18.0;21.0;24.0;36.0;68.0;90.0;88.0;80.0;63.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;2;6;45.0;30.0;31.0;28.0;28.0;24.0;24.0;27.0;31.0;31.0;33.0;33.0;37.0;27.0;15.0;16.0;21.0;21.0;29.0;33.0;37.0;50.0;59.0;60.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;2;7;53.0;49.0;45.0;37.0;35.0;40.0;33.0;33.0;43.0;39.0;34.0;32.0;31.0;21.0;8.0;4.0;15.0;19.0;26.0;39.0;63.0;75.0;72.0;62.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;2;8;48.0;34.0;29.0;22.0;17.0;23.0;30.0;32.0;38.0;37.0;34.0;35.0;32.0;23.0;13.0;15.0;18.0;15.0;19.0;23.0;28.0;24.0;17.0;20.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;2;10;13.0;9.0;8.0;9.0;12.0;13.0;12.0;16.0;16.0;11.0;8.0;5.0;4.0;4.0;6.0;9.0;9.0;9.0;9.0;11.0;14.0;13.0;8.0;11.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;2;11;13.0;15.0;13.0;13.0;15.0;19.0;25.0;26.0;27.0;22.0;10.0;4.0;2.0;3.0;3.0;2.0;3.0;15.0;22.0;27.0;25.0;17.0;15.0;10.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;2;12;12.0;14.0;12.0;10.0;9.0;12.0;14.0;15.0;20.0;16.0;12.0;8.0;6.0;4.0;8.0;10.0;14.0;20.0;29.0;46.0;55.0;53.0;53.0;40.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;2;14;55.0;42.0;35.0;29.0;26.0;25.0;24.0;35.0;43.0;42.0;30.0;20.0;16.0;12.0;6.0;8.0;13.0;18.0;35.0;55.0;72.0;68.0;63.0;59.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;2;15;53.0;43.0;34.0;28.0;26.0;21.0;24.0;27.0;29.0;30.0;31.0;34.0;29.0;17.0;12.0;14.0;21.0;28.0;42.0;60.0;75.0;68.0;72.0;68.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;2;16;54.0;42.0;33.0;26.0;23.0;21.0;22.0;25.0;23.0;25.0;25.0;19.0;10.0;6.0;4.0;6.0;13.0;19.0;24.0;27.0;28.0;35.0;40.0;45.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;2;18;15.0;20.0;21.0;17.0;20.0;21.0;24.0;28.0;35.0;39.0;35.0;29.0;23.0;15.0;18.0;;21.0;23.0;46.0;57.0;62.0;61.0;63.0;76.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;2;20;79.0;71.0;63.0;60.0;59.0;53.0;51.0;54.0;57.0;57.0;55.0;42.0;35.0;33.0;35.0;37.0;47.0;54.0;62.0;74.0;86.0;95.0;97.0;90.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;2;21;84.0;75.0;64.0;60.0;53.0;51.0;57.0;58.0;57.0;58.0;58.0;56.0;53.0;48.0;46.0;46.0;43.0;43.0;66.0;81.0;88.0;92.0;92.0;80.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;2;23;63.0;59.0;50.0;41.0;38.0;36.0;35.0;36.0;35.0;36.0;35.0;33.0;33.0;35.0;32.0;31.0;32.0;38.0;58.0;84.0;96.0;94.0;88.0;78.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;2;25;63.0;57.0;45.0;34.0;32.0;31.0;27.0;29.0;35.0;33.0;34.0;31.0;29.0;25.0;24.0;24.0;26.0;27.0;36.0;59.0;70.0;81.0;88.0;74.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;2;27;54.0;43.0;29.0;24.0;22.0;20.0;24.0;29.0;31.0;31.0;29.0;27.0;18.0;13.0;13.0;15.0;18.0;22.0;32.0;55.0;72.0;82.0;83.0;76.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;2;28;65.0;51.0;39.0;32.0;29.0;28.0;29.0;34.0;40.0;44.0;44.0;36.0;25.0;17.0;14.0;14.0;16.0;18.0;25.0;44.0;55.0;57.0;59.0;64.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;3;1;56.0;40.0;29.0;24.0;23.0;20.0;25.0;28.0;30.0;27.0;24.0;22.0;18.0;14.0;12.0;14.0;17.0;21.0;29.0;38.0;45.0;50.0;47.0;41.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;3;2;37.0;32.0;26.0;21.0;22.0;27.0;26.0;28.0;29.0;26.0;21.0;16.0;12.0;12.0;11.0;13.0;15.0;16.0;22.0;35.0;46.0;50.0;48.0;48.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;3;3;41.0;33.0;32.0;31.0;24.0;21.0;21.0;22.0;22.0;25.0;23.0;16.0;9.0;9.0;12.0;11.0;12.0;14.0;16.0;19.0;19.0;20.0;17.0;14.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;3;6;9.0;7.0;5.0;4.0;5.0;6.0;9.0;10.0;12.0;15.0;18.0;16.0;;;13.0;14.0;13.0;8.0;8.0;12.0;11.0;8.0;7.0;7.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;3;7;7.0;8.0;6.0;5.0;3.0;4.0;6.0;8.0;11.0;13.0;12.0;6.0;7.0;8.0;9.0;10.0;11.0;10.0;11.0;15.0;18.0;16.0;15.0;14.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;3;8;10.0;10.0;11.0;12.0;12.0;14.0;16.0;24.0;32.0;32.0;20.0;11.0;8.0;8.0;6.0;6.0;7.0;9.0;13.0;25.0;30.0;30.0;27.0;20.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;3;9;17.0;16.0;19.0;20.0;15.0;13.0;13.0;14.0;14.0;13.0;10.0;5.0;1.0;2.0;3.0;2.0;4.0;8.0;13.0;21.0;36.0;50.0;49.0;42.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;3;10;41.0;38.0;28.0;23.0;21.0;21.0;20.0;21.0;22.0;21.0;16.0;13.0;6.0;3.0;1.0;1.0;5.0;8.0;16.0;32.0;45.0;54.0;46.0;32.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;3;11;22.0;16.0;17.0;16.0;15.0;15.0;17.0;21.0;23.0;18.0;9.0;4.0;2.0;2.0;2.0;2.0;3.0;5.0;11.0;19.0;26.0;31.0;29.0;23.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;3;12;18.0;16.0;9.0;8.0;7.0;9.0;14.0;17.0;27.0;34.0;31.0;23.0;19.0;15.0;15.0;13.0;12.0;11.0;14.0;20.0;30.0;34.0;27.0;20.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;3;13;13.0;9.0;10.0;10.0;12.0;12.0;13.0;12.0;17.0;26.0;22.0;16.0;12.0;12.0;13.0;18.0;22.0;22.0;20.0;17.0;12.0;9.0;10.0;11.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;3;14;12.0;14.0;14.0;13.0;9.0;7.0;10.0;15.0;24.0;25.0;19.0;10.0;4.0;5.0;6.0;9.0;14.0;15.0;21.0;27.0;28.0;31.0;33.0;33.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;3;15;28.0;20.0;19.0;17.0;14.0;15.0;19.0;22.0;25.0;21.0;21.0;16.0;10.0;10.0;12.0;15.0;11.0;11.0;20.0;30.0;44.0;69.0;83.0;66.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;3;19;11.0;14.0;12.0;10.0;8.0;8.0;9.0;12.0;14.0;11.0;9.0;6.0;5.0;6.0;6.0;5.0;7.0;6.0;6.0;8.0;7.0;7.0;7.0;6.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;3;26;17.0;15.0;14.0;14.0;15.0;16.0;16.0;18.0;18.0;18.0;16.0;14.0;10.0;10.0;7.0;6.0;8.0;15.0;19.0;21.0;22.0;18.0;16.0;14.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;3;27;8.0;2.0;7.0;10.0;15.0;15.0;19.0;25.0;29.0;32.0;26.0;19.0;15.0;16.0;15.0;14.0;14.0;14.0;18.0;30.0;46.0;48.0;34.0;19.0
MADRID;ALCALç DE HENARES;2;TRAFICO;URBANA;PM10;28005002_10_49;2019;3;28;17.0;18.0;16.0;14.0;11.0;11.0;15.0;16.0;21.0;24.0;22.0;17.0;14.0;14.0;14.0;16.0;18.0;18.0;22.0;29.0;41.0;41.0;29.0;22.0
