PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANNO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31;TECNICA;ENVIADO
BADAJOZ;BARCARROTA;999;OZONO;06016999_14_6;2020;5;42;V;33;V;55;V;67;V;52;V;52;V;60;V;72;V;56;V;62;V;59;V;49;V;72;V;70;V;62;V;51;V;52;V;63;V;61;V;64;V;70;V;65;V;46;V;43;V;49;V;75;V;72;V;80;V;80;V;78;V;83;V;C;
BALEARES;MAHON;999;DIOXIDO DE AZUFRE;07032999_1_38;2020;5;0;53;V;0;63;V;0;51;V;0;48;V;0;48;V;0;58;V;0;53;V;0;44;V;0;43;V;0;30;V;0;31;V;0;30;V;0;32;V;0;43;V;0;36;V;0;43;V;0;66;V;0;73;V;1;10;V;0;71;V;0;81;V;0
BALEARES;MAHON;999;MONOXIDO DE NITROGENO;07032999_7_8;2020;5;0;14;V;0;28;V;0;19;V;N;N;0;13;V;0;13;V;0;14;V;0;16;V;0;23;V;0;17;V;0;16;V;0;17;V;1;10;V;0;16;V;0;16;V;0;25;V;0;31;V;1;V;0;20;V;0;64;V;0;29;V;0;21;V
BALEARES;MAHON;999;DIOXIDO DE NITROGENO;07032999_8_8;2020;5;0;79;V;1;90;V;1;90;V;N;N;1;10;V;0;84;V;0;61;V;0;75;V;1;80;V;0;95;V;0;71;V;1;10;V;2;60;V;0;68;V;1;20;V;5;30;V;8;70;V;11;V;5;60;V;8;80;V;2;70;V;0;94;V
BALEARES;MAHON;999;OXIDOS DE NITROGENO TOTALES;07032999_12_8;2020;5;1;V;2;30;V;2;20;V;N;N;1;30;V;1;V;0;83;V;1;V;2;20;V;1;20;V;0;95;V;1;40;V;4;30;V;0;92;V;1;40;V;5;60;V;9;20;V;12;V;5;90;V;9;70;V;3;10;V;1;30;V;1;20;V
CORUÑA;NOIA;999;DIOXIDO DE AZUFRE;15057999_1_38;2020;5;0;49;V;0;49;V;0;67;V;0;64;V;0;48;V;0;53;V;0;83;V;0;67;V;0;53;V;0;69;V;1;V;0;76;V;0;70;V;0;61;V;0;52;V;0;86;V;0;67;V;0;81;V;1;20;V;1;20;V;0;84;V;0;76
CORUÑA;NOIA;999;MONOXIDO DE NITROGENO;15057999_7_8;2020;5;0;13;V;0;12;V;0;750;V;0;510;V;0;770;V;0;850;V;0;790;V;0;12;V;0;620;V;0;650;V;0;810;V;0;690;V;0;12;V;0;18;V;0;11;V;0;10;V;0;4;V;0;160;V;0;710;V;0;18;V;0;11;V;0
GIRONA;CADAQUES;999;DIOXIDO DE AZUFRE;17032999_1_38;2020;5;0;61;V;0;57;V;0;62;V;0;60;V;0;61;V;0;63;V;0;64;V;0;53;V;0;56;V;0;52;V;0;52;V;0;57;V;0;55;V;0;51;V;0;56;V;0;52;V;0;61;V;0;60;V;0;61;V;0;66;V;0;81;V;0
GIRONA;CADAQUES;999;MONOXIDO DE NITROGENO;17032999_7_8;2020;5;0;11;V;0;10;V;0;920;V;0;41;V;0;21;V;0;17;V;0;13;V;0;940;V;0;790;V;0;820;V;0;19;V;0;13;V;0;29;V;0;12;V;0;14;V;0;13;V;0;12;V;0;16;V;0;14;V;0;16;V;0;21;V;0
GIRONA;CADAQUES;999;DIOXIDO DE NITROGENO;17032999_8_8;2020;5;1;40;V;0;85;V;0;79;V;2;20;V;2;V;2;10;V;1;70;V;1;10;V;0;95;V;1;10;V;2;V;1;60;V;2;70;V;1;50;V;1;50;V;2;V;2;V;2;20;V;2;10;V;2;60;V;2;70;V;3;V;2;50;V
GIRONA;CADAQUES;999;OZONO;17032999_14_6;2020;5;73;V;62;V;60;V;64;V;69;V;90;V;86;V;92;V;99;V;104;V;73;V;75;V;79;V;86;V;83;V;78;V;106;V;N;N;111;V;113;V;108;V;82;V;87;V;101;V;101;V;100;V;83;V;89;V;94;V;87;V;C;;;
GRANADA;VIZNAR;999;DIOXIDO DE AZUFRE;18189999_1_38;2020;5;0;24;V;0;53;V;0;22;V;0;41;V;0;49;V;0;93;V;0;76;V;0;78;V;0;49;V;0;41;V;0;50;V;0;65;V;0;92;V;0;80;V;0;97;V;0;86;V;0;72;V;0;64;V;0;62;V;0;65;V;0;79;V;0
GRANADA;VIZNAR;999;MONOXIDO DE NITROGENO;18189999_7_8;2020;5;0;32;V;0;77;V;0;990;V;0;16;V;0;32;V;1;20;V;0;25;V;0;33;V;0;19;V;0;12;V;0;31;V;0;26;V;0;50;V;0;25;V;0;38;V;0;33;V;0;26;V;0;71;V;0;33;V;0;47;V;0;47;V;0
GRANADA;VIZNAR;999;DIOXIDO DE NITROGENO;18189999_8_8;2020;5;2;V;2;40;V;1;40;V;2;90;V;3;90;V;5;30;V;2;40;V;3;80;V;2;70;V;2;10;V;2;80;V;4;60;V;5;30;V;5;60;V;2;90;V;4;50;V;1;90;V;2;10;V;2;10;V;2;30;V;2;90;V;3;V
GUADALAJARA;CAMPISABALOS;999;DIOXIDO DE AZUFRE;19061999_1_38;2020;5;0;61;V;0;57;V;0;60;V;0;70;V;0;57;V;0;49;V;0;66;V;0;63;V;0;61;V;0;60;V;0;57;V;0;63;V;0;73;V;0;74;V;0;70;V;0;55;V;0;47;V;0;48;V;0;49;V;0;50;V;0;52;V;0
ASTURIAS;LLANES;999;PARTICULAS EN SUSPENSION <10?M;33036999_10_M;2020;2;10;V;42;V;44;V;4;V;15;V;14;V;16;V;4;V;21;V;41;V;28;V;20;V;27;V;23;V;39;V;19;V;12;V;20;V;14;V;26;V;25;V;39;V;33;V;30;V;7;V;20;V;63;V;83;V;18;V;0;N;0;N;N;
ASTURIAS;LLANES;999;PARTICULAS EN SUSPENSION <2,5?M;33036999_9_M;2020;2;3;V;13;V;18;V;1;V;4;V;6;V;8;V;3;V;5;V;6;V;4;V;4;V;5;V;5;V;7;V;5;V;3;V;3;V;3;V;8;V;10;V;12;V;13;V;19;V;3;V;7;V;20;V;34;V;6;V;0;N;0;N;N;
TOLEDO;SAN PABLO DE LOS MONTES;999;PARTICULAS EN SUSPENSION <10?M;45153999_10_M;2020;11;7;V;8;V;11;V;5;V;33;V;60;V;5;V;8;V;6;V;6;V;8;V;10;V;14;V;5;V;6;V;10;V;11;V;20;V;19;V;5;V;9;V;12;V;12;V;12;V;7;V;15;V;4;V;5;V;0;N;8;V;0;N;N;
TOLEDO;SAN PABLO DE LOS MONTES;999;PARTICULAS EN SUSPENSION <2,5?M;45153999_9_M;2020;11;5;V;5;V;4;V;0;N;6;V;0;N;1;V;1;V;1;V;4;V;5;V;6;V;7;V;3;V;3;V;5;V;5;V;7;V;8;V;3;V;5;V;8;V;8;V;5;V;3;V;0;N;2;V;2;V;3;V;4;V;0;N;N;
CORUÑA;NOIA;999;PARTICULAS EN SUSPENSION <10?M;15057999_10_M;2020;11;7;V;9;V;7;V;4;V;6;V;8;V;3;V;2;V;3;V;7;V;5;V;10;V;12;V;0;N;0;N;13;V;5;V;5;V;5;V;5;V;6;V;8;V;11;V;2;V;2;V;4;V;12;V;9;V;3;V;2;V;0;N;N;
GUADALAJARA;CAMPISABALOS;999;PARTICULAS EN SUSPENSION <10?M;19061999_10_M;2020;11;6;V;6;V;2;V;2;V;15;V;4;V;3;V;6;V;4;V;4;V;6;V;6;V;10;V;10;V;7;V;4;V;4;V;20;V;9;V;3;V;3;V;5;V;5;V;10;V;9;V;7;V;6;V;7;V;4;V;3;V;0;N;N;
GUADALAJARA;CAMPISABALOS;999;PARTICULAS EN SUSPENSION <2,5?M;19061999_9_M;2020;11;4;V;3;V;1;V;1;V;4;V;3;V;3;V;2;V;2;V;1;V;3;V;3;V;5;V;5;V;3;V;2;V;2;V;6;V;3;V;1;V;2;V;3;V;3;V;9;V;7;V;3;V;6;V;7;V;2;V;1;V;0;N;N;
HUELVA;ALMONTE;999;PARTICULAS EN SUSPENSION <10?M;21005999_10_M;2020;11;12;V;12;V;10;V;0;N;29;V;42;V;9;V;11;V;9;V;10;V;12;V;15;V;20;V;8;V;10;V;27;V;16;V;19;V;23;V;16;V;12;V;13;V;14;V;22;V;7;V;5;V;7;V;10;V;9;V;13;V;0;N;N;
ASTURIAS;LLANES;999;PLOMO (PM10);33036999_19_M;2020;2;0;N;0;N;0;2590;V;0;N;0;N;0;N;0;6020;V;0;N;0;N;0;N;0;N;0;N;0;N;0;2860;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;5070;V;0;N;0;N;0;N;0;N;0;N;0;3220;V;0;N;0
ASTURIAS;LLANES;999;CADMIO (PM10);33036999_28_M;2020;2;0;N;0;N;0;7;V;0;N;0;N;0;N;0;16;V;0;N;0;N;0;N;0;N;0;N;0;N;0;7;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;24;V;0;N;0;N;0;N;0;N;0;N;0;12;V;0;N;0
ASTURIAS;LLANES;999;ARSENICO (PM10);33036999_17_M;2020;2;0;N;0;N;0;39;V;0;N;0;N;0;N;0;31;V;0;N;0;N;0;N;0;N;0;N;0;N;0;12;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;34;V;0;N;0;N;0;N;0;N;0;N;0;74;V;0;N;0
ASTURIAS;LLANES;999;NIQUEL (PM10);33036999_62_M;2020;2;0;N;0;N;1;89;V;0;N;0;N;0;N;0;63;V;0;N;0;N;0;N;0;N;0;N;0;N;0;37;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;69;V;0;N;0;N;0;N;0;N;0;N;2;64;V;0;N;0
ASTURIAS;LLANES;999;OXIDOS DE NITROGENO TOTALES;33036999_12_8;2020;11;1;90;V;1;70;V;2;10;V;N;5;20;V;3;10;V;1;80;V;3;10;V;3;30;V;2;40;V;4;10;V;3;V;3;70;V;1;80;V;1;20;V;1;80;V;N;6;V;1;60;V;3;20;V;4;50;V;3;60;V;6;50;V;3
GUADALAJARA;CAMPISABALOS;999;MONOXIDO DE NITROGENO;19061999_7_8;2020;11;0;18;V;0;22;V;0;15;V;0;13;V;0;15;V;0;18;V;0;18;V;0;15;V;0;15;V;0;18;V;0;16;V;0;17;V;0;22;V;0;17;V;0;15;V;0;14;V;0;16;V;0;16;V;0;16;V;0;14;V;0;12;V;0
GUADALAJARA;CAMPISABALOS;999;OZONO;19061999_14_6;2020;11;44;V;38;V;56;V;66;V;59;V;58;V;71;V;75;V;63;V;47;V;46;V;49;V;70;V;60;V;49;V;57;V;45;V;38;V;48;V;69;V;59;V;60;V;50;V;55;V;70;V;70;V;74;V;71;V;55;V;44;V;N;C;;
TOLEDO;SAN PABLO DE LOS MONTES;999;BENCENO;45153999_30_M;2020;2;0;N;0;N;0;6480;V;0;N;0;N;1;2312;V;0;N;0;N;0;N;0;648;V;0;N;0;N;1;4904;V;0;N;0;N;0;N;2;5920;V;0;N;0;N;1;4904;V;0;N;0;N;0;N;0;8748;V;0;N;0;N;3;5316;V;0;N
GRANADA;VIZNAR;999;DIOXIDO DE AZUFRE;18189999_1_38;2020;11;1;20;V;1;40;V;1;40;V;1;30;V;1;10;V;1;V;0;97;V;1;V;1;V;0;97;V;1;V;1;10;V;1;20;V;0;98;V;0;95;V;1;30;V;1;50;V;1;30;V;0;88;V;1;50;V;1;20;V;1;20;V;1;40
ZAMORA;PEÑAUSENDE;999;DIOXIDO DE NITROGENO;49149999_8_8;2020;11;0;74;V;0;82;V;0;82;V;1;V;1;10;V;0;98;V;0;46;V;0;28;V;0;30;V;0;63;V;1;V;1;80;V;1;40;V;0;61;V;0;43;V;0;45;V;1;V;N;1;10;V;0;47;V;0;58;V;0;28;V;0;83;V
HUELVA;ALMONTE;999;OXIDOS DE NITROGENO TOTALES;21005999_12_8;2020;11;2;70;V;2;40;V;2;50;V;3;V;N;2;50;V;1;30;V;2;30;V;1;90;V;2;60;V;3;V;3;60;V;2;60;V;2;20;V;2;40;V;2;10;V;3;70;V;4;30;V;4;50;V;3;40;V;2;30;V;1;80;V;3;20
BADAJOZ;BARCARROTA;999;DIOXIDO DE NITROGENO;06016999_8_8;2020;11;3;V;3;10;V;3;30;V;4;V;1;90;V;2;60;V;2;50;V;1;80;V;1;30;V;1;60;V;2;V;1;70;V;2;V;1;50;V;1;40;V;1;80;V;1;80;V;2;70;V;2;90;V;3;20;V;3;V;2;V;2;70;V;1
GRANADA;VIZNAR;999;DIOXIDO DE NITROGENO;18189999_8_8;2020;11;2;50;V;4;80;V;5;50;V;6;70;V;3;60;V;3;V;3;30;V;2;90;V;7;40;V;3;30;V;3;10;V;4;70;V;5;90;V;3;40;V;1;60;V;8;V;6;40;V;6;V;1;60;V;11;V;3;70;V;2;50;V;4;20
LLEIDA;TORMS (ELS);999;OZONO;25224999_14_6;2020;11;66;V;70;V;56;V;54;V;36;V;63;V;62;V;50;V;47;V;38;V;32;V;24;V;39;V;42;V;44;V;57;V;51;V;44;V;48;V;67;V;58;V;49;V;43;V;52;V;67;V;67;V;76;V;53;V;38;V;32;V;N;C;;
LLEIDA;TORMS (ELS);999;DIOXIDO DE NITROGENO;25224999_8_8;2020;11;3;V;3;V;3;60;V;2;80;V;4;50;V;2;50;V;1;90;V;2;30;V;2;80;V;4;40;V;4;10;V;5;10;V;5;60;V;3;90;V;2;20;V;3;50;V;4;80;V;5;30;V;4;V;3;70;V;3;40;V;4;10;V;4
TOLEDO;SAN PABLO DE LOS MONTES;999;MONOXIDO DE NITROGENO;45153999_7_8;2020;11;0;78;V;0;89;V;1;10;V;0;68;V;0;92;V;0;93;V;0;95;V;0;77;V;0;77;V;0;40;V;0;34;V;0;39;V;0;27;V;0;33;V;0;58;V;0;46;V;0;27;V;0;46;V;0;44;V;0;80;V;0;86;V;0
LLEIDA;TORMS (ELS);999;OXIDOS DE NITROGENO TOTALES;25224999_12_8;2020;11;3;20;V;3;30;V;3;90;V;2;90;V;5;50;V;2;60;V;2;V;2;50;V;3;10;V;4;90;V;5;V;5;80;V;6;30;V;4;20;V;2;40;V;3;80;V;5;10;V;5;60;V;4;40;V;3;90;V;3;60;V;4;50;V
HUELVA;ALMONTE;999;DIOXIDO DE NITROGENO;21005999_8_8;2020;11;2;50;V;2;20;V;2;20;V;2;30;V;N;2;20;V;1;10;V;2;V;1;70;V;2;40;V;2;50;V;2;90;V;2;20;V;2;V;2;20;V;2;V;3;V;3;50;V;3;40;V;3;V;2;V;1;60;V;2;80;V;5;70;V
VALENCIA;ZARRA;999;OXIDOS DE NITROGENO TOTALES;46263999_12_8;2020;11;1;20;V;1;20;V;1;80;V;2;10;V;2;50;V;1;70;V;0;85;V;0;96;V;1;V;1;40;V;1;40;V;1;30;V;1;20;V;1;40;V;0;88;V;1;30;V;1;90;V;1;90;V;1;70;V;1;60;V;2;40;V;1;20
TOLEDO;SAN PABLO DE LOS MONTES;999;PLOMO (PM10);45153999_19_M;2020;2;0;N;0;N;0;520;V;0;N;0;N;0;N;0;2370;V;0;N;0;N;0;N;0;N;0;N;0;N;0;840;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;1390;V;0;N;0;N;0;N;0;N;0;N;0;1250;V;0;N;0
TOLEDO;SAN PABLO DE LOS MONTES;999;CADMIO (PM10);45153999_28_M;2020;2;0;N;0;N;0;1;V;0;N;0;N;0;N;0;6;V;0;N;0;N;0;N;0;N;0;N;0;N;0;4;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;2;V;0;N;0;N;0;N;0;N;0;N;0;6;V;0;N;0
TOLEDO;SAN PABLO DE LOS MONTES;999;ARSENICO (PM10);45153999_17_M;2020;2;0;N;0;N;0;14;V;0;N;0;N;0;N;0;25;V;0;N;0;N;0;N;0;N;0;N;0;N;0;13;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;20;V;0;N;0;N;0;N;0;N;0;N;0;60;V;0;N;0
TOLEDO;SAN PABLO DE LOS MONTES;999;NIQUEL (PM10);45153999_62_M;2020;2;0;N;0;N;0;36;V;0;N;0;N;0;N;0;81;V;0;N;0;N;0;N;0;N;0;N;0;N;0;10;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;10;V;0;N;0;N;0;N;0;N;0;N;2;24;V;0;N;0
BADAJOZ;BARCARROTA;999;DIOXIDO DE AZUFRE;06016999_1_38;2020;11;0;19;V;0;17;V;0;16;V;0;15;V;0;15;V;0;15;V;0;16;V;0;16;V;0;16;V;0;17;V;0;16;V;0;25;V;0;29;V;0;26;V;0;27;V;0;28;V;0;30;V;0;28;V;0;27;V;0;29;V;0;31;V;0
BADAJOZ;BARCARROTA;999;MONOXIDO DE NITROGENO;06016999_7_8;2020;11;0;41;V;0;24;V;0;28;V;0;32;V;0;10;V;0;13;V;0;17;V;0;13;V;0;11;V;0;24;V;0;11;V;0;9;V;0;18;V;0;14;V;0;15;V;0;26;V;0;53;V;0;43;V;0;26;V;0;29;V;0;23;V;0
BADAJOZ;BARCARROTA;999;OXIDOS DE NITROGENO TOTALES;06016999_12_8;2020;11;3;60;V;3;50;V;3;70;V;4;50;V;2;10;V;2;80;V;2;70;V;2;V;1;50;V;2;V;2;10;V;1;80;V;2;30;V;1;70;V;1;70;V;2;20;V;2;70;V;3;30;V;3;30;V;3;60;V;3;30;V;2;20;V
BADAJOZ;BARCARROTA;999;OZONO;06016999_14_6;2020;11;28;V;29;V;40;V;43;V;62;V;57;V;72;V;73;V;48;V;37;V;55;V;58;V;49;V;54;V;47;V;35;V;21;V;26;V;40;V;47;V;50;V;55;V;37;V;41;V;66;V;71;V;37;V;41;V;47;V;44;V;N;C;;
BALEARES;MAHON;999;DIOXIDO DE AZUFRE;07032999_1_38;2020;11;0;33;V;0;37;V;0;33;V;0;42;V;0;45;V;0;39;V;0;43;V;0;56;V;0;46;V;0;54;V;0;64;V;0;65;V;0;55;V;0;60;V;0;63;V;0;64;V;0;66;V;0;60;V;0;66;V;0;64;V;0;68;V;0
BALEARES;MAHON;999;DIOXIDO DE NITROGENO;07032999_8_8;2020;11;2;20;V;0;77;V;1;10;V;1;20;V;0;99;V;0;71;V;2;V;7;20;V;2;40;V;2;10;V;2;70;V;6;40;V;1;60;V;4;30;V;2;90;V;2;10;V;1;80;V;3;80;V;5;50;V;1;80;V;2;30;V;1;80
BALEARES;MAHON;999;OXIDOS DE NITROGENO TOTALES;07032999_12_8;2020;11;2;40;V;0;96;V;1;30;V;1;40;V;1;20;V;0;88;V;2;20;V;9;30;V;2;60;V;2;40;V;2;90;V;7;30;V;1;80;V;4;50;V;3;20;V;2;30;V;2;V;4;V;7;10;V;2;V;2;50;V;2;V;6;V
BALEARES;MAHON;999;OZONO;07032999_14_6;2020;11;69;V;77;V;75;V;75;V;78;V;79;V;72;V;58;V;73;V;72;V;74;V;69;V;83;V;74;V;62;V;71;V;78;V;72;V;67;V;78;V;79;V;82;V;78;V;75;V;89;V;N;N;83;V;85;V;68;V;N;C;;;;
TOLEDO;SAN PABLO DE LOS MONTES;999;OZONO;45153999_14_6;2020;11;68;V;56;V;42;V;37;V;59;V;54;V;74;V;73;V;69;V;62;V;71;V;72;V;73;V;60;V;51;V;50;V;53;V;49;V;54;V;59;V;72;V;68;V;72;V;81;V;72;V;64;V;65;V;62;V;60;V;59;V;N;C;;
ZAMORA;PEÑAUSENDE;999;DIOXIDO DE AZUFRE;49149999_1_38;2020;11;0;21;V;0;16;V;0;18;V;0;17;V;0;18;V;0;24;V;0;16;V;0;15;V;0;14;V;0;16;V;0;20;V;0;25;V;0;29;V;0;22;V;0;15;V;0;15;V;0;19;V;N;0;27;V;0;24;V;0;32;V;0;47;V
GIRONA;CADAQUES;999;DIOXIDO DE AZUFRE;17032999_1_38;2020;11;0;62;V;0;60;V;0;61;V;0;60;V;0;64;V;0;62;V;0;57;V;0;58;V;0;61;V;0;60;V;0;66;V;0;63;V;0;62;V;0;57;V;0;62;V;0;62;V;0;65;V;0;70;V;0;59;V;0;55;V;0;60;V;0
GIRONA;CADAQUES;999;MONOXIDO DE NITROGENO;17032999_7_8;2020;11;0;14;V;0;36;V;0;13;V;0;15;V;0;26;V;0;17;V;0;940;V;0;27;V;0;59;V;0;29;V;0;31;V;0;21;V;0;39;V;0;15;V;0;27;V;0;15;V;0;15;V;0;24;V;0;19;V;0;15;V;0;12;V;0
GIRONA;CADAQUES;999;DIOXIDO DE NITROGENO;17032999_8_8;2020;11;3;50;V;4;90;V;2;80;V;2;10;V;4;V;2;50;V;1;80;V;3;60;V;5;20;V;2;80;V;5;70;V;4;60;V;4;20;V;2;20;V;4;20;V;1;90;V;2;V;3;V;2;60;V;2;V;1;90;V;3;10;V;3;80
GIRONA;CADAQUES;999;OXIDOS DE NITROGENO TOTALES;17032999_12_8;2020;11;3;70;V;5;50;V;3;V;2;30;V;4;40;V;2;70;V;2;V;4;V;6;10;V;3;30;V;6;20;V;4;90;V;4;80;V;2;40;V;4;60;V;2;20;V;2;20;V;3;40;V;2;80;V;2;20;V;2;10;V;3;40;V;4
GIRONA;CADAQUES;999;OZONO;17032999_14_6;2020;11;63;V;60;V;62;V;67;V;51;V;64;V;61;V;58;V;52;V;61;V;62;V;58;V;58;V;68;V;58;V;64;V;70;V;70;V;53;V;43;V;68;V;65;V;66;V;61;V;79;V;78;V;76;V;77;V;56;V;38;V;N;C;;
GRANADA;VIZNAR;999;MONOXIDO DE NITROGENO;18189999_7_8;2020;11;0;30;V;0;35;V;1;40;V;0;52;V;0;22;V;0;29;V;0;20;V;0;31;V;0;57;V;0;84;V;0;88;V;0;95;V;1;50;V;0;28;V;0;25;V;1;40;V;1;90;V;2;V;0;13;V;2;30;V;0;45;V;0;29
GRANADA;VIZNAR;999;OZONO;18189999_14_6;2020;11;77;V;80;V;75;V;70;V;64;V;58;V;74;V;78;V;68;V;67;V;70;V;68;V;66;V;59;V;56;V;59;V;67;V;60;V;58;V;58;V;66;V;75;V;82;V;82;V;72;V;64;V;59;V;57;V;72;V;73;V;N;C;;
GUADALAJARA;CAMPISABALOS;999;DIOXIDO DE AZUFRE;19061999_1_38;2020;11;0;18;V;0;22;V;0;39;V;0;44;V;0;47;V;0;54;V;0;54;V;0;45;V;0;44;V;0;34;V;0;38;V;0;39;V;0;41;V;0;40;V;0;41;V;0;36;V;0;28;V;0;26;V;0;21;V;0;41;V;0;48;V;0
GUADALAJARA;CAMPISABALOS;999;DIOXIDO DE NITROGENO;19061999_8_8;2020;11;2;30;V;2;10;V;1;40;V;0;80;V;1;40;V;0;89;V;1;10;V;1;30;V;1;30;V;0;95;V;1;20;V;1;60;V;2;40;V;3;30;V;1;60;V;1;20;V;1;30;V;1;20;V;1;30;V;1;40;V;1;V;2;60
GUADALAJARA;CAMPISABALOS;999;PARTICULAS EN SUSPENSION <10?M;19061999_10_47;2020;11;7;90;V;7;20;V;3;60;V;3;40;V;5;V;86;V;11;V;5;50;V;6;V;4;70;V;6;50;V;N;9;20;V;9;80;V;7;70;V;4;70;V;6;90;V;19;V;17;V;N;2;70;V;5;30;V;5;30;V;7;20;V;9;V
HUELVA;ALMONTE;999;DIOXIDO DE AZUFRE;21005999_1_38;2020;11;0;63;V;0;66;V;0;43;V;0;43;V;N;0;27;V;0;25;V;0;34;V;0;42;V;0;42;V;0;46;V;0;53;V;0;61;V;0;49;V;0;49;V;0;51;V;0;55;V;0;59;V;0;67;V;0;59;V;0;59;V;0;53;V
HUELVA;ALMONTE;999;MONOXIDO DE NITROGENO;21005999_7_8;2020;11;0;12;V;0;17;V;0;17;V;0;43;V;N;0;21;V;0;13;V;0;21;V;0;12;V;0;15;V;0;31;V;0;48;V;0;22;V;0;13;V;0;17;V;0;11;V;0;48;V;0;55;V;0;71;V;0;29;V;0;18;V;0;13;V
HUELVA;ALMONTE;999;OZONO;21005999_14_6;2020;11;48;V;43;V;24;V;50;V;N;48;V;69;V;50;V;52;V;40;V;45;V;44;V;53;V;53;V;40;V;30;V;24;V;23;V;28;V;32;V;42;V;45;V;41;V;39;V;N;N;49;V;38;V;51;V;41;V;N;C;;;;;
LLEIDA;TORMS (ELS);999;DIOXIDO DE AZUFRE;25224999_1_38;2020;11;0;64;V;0;63;V;0;49;V;0;35;V;0;38;V;0;36;V;0;34;V;0;33;V;0;36;V;0;44;V;0;40;V;0;40;V;0;44;V;0;49;V;0;39;V;0;39;V;0;45;V;0;43;V;0;48;V;0;42;V;0;43;V;0
LLEIDA;TORMS (ELS);999;MONOXIDO DE NITROGENO;25224999_7_8;2020;11;0;13;V;0;17;V;0;19;V;0;10;V;0;70;V;0;11;V;0;9;V;0;12;V;0;20;V;0;28;V;0;62;V;0;44;V;0;50;V;0;25;V;0;16;V;0;18;V;0;20;V;0;24;V;0;25;V;0;14;V;0;14;V;0
LUGO;SAVIÑAO (O);999;MONOXIDO DE NITROGENO;27058999_7_8;2020;11;0;42;V;0;38;V;0;29;V;0;29;V;0;31;V;0;32;V;0;31;V;0;30;V;0;35;V;0;43;V;0;33;V;0;37;V;0;37;V;0;33;V;0;37;V;0;38;V;0;45;V;0;40;V;0;39;V;0;36;V;0;52;V;0
LUGO;SAVIÑAO (O);999;DIOXIDO DE NITROGENO;27058999_8_8;2020;11;2;40;V;1;80;V;2;20;V;2;10;V;2;10;V;2;V;1;30;V;1;10;V;2;20;V;3;60;V;2;10;V;2;50;V;2;70;V;2;10;V;1;20;V;2;40;V;2;60;V;2;40;V;2;60;V;3;V;3;70;V;2;90;V
LUGO;SAVIÑAO (O);999;OXIDOS DE NITROGENO TOTALES;27058999_12_8;2020;11;3;10;V;2;40;V;2;90;V;2;50;V;2;60;V;2;50;V;1;70;V;1;60;V;2;80;V;4;20;V;2;60;V;3;V;3;30;V;2;60;V;1;80;V;3;V;3;30;V;3;10;V;3;20;V;3;50;V;4;50;V;3;50;V
LUGO;SAVIÑAO (O);999;OZONO;27058999_14_6;2020;11;43;V;51;V;58;V;59;V;61;V;61;V;63;V;67;V;53;V;34;V;45;V;63;V;65;V;63;V;59;V;45;V;45;V;49;V;50;V;44;V;33;V;49;V;46;V;53;V;58;V;42;V;39;V;46;V;57;V;39;V;N;C;;
ASTURIAS;LLANES;999;DIOXIDO DE AZUFRE;33036999_1_38;2020;11;0;38;V;0;30;V;0;30;V;0;28;V;0;55;V;0;25;V;0;15;V;0;23;V;0;33;V;0;22;V;0;25;V;0;26;V;0;37;V;0;37;V;0;26;V;0;24;V;N;1;20;V;0;17;V;0;21;V;0;60;V;0;85;V
ASTURIAS;LLANES;999;MONOXIDO DE NITROGENO;33036999_7_8;2020;11;0;35;V;0;32;V;0;31;V;N;0;68;V;0;57;V;0;42;V;0;69;V;0;54;V;0;44;V;0;80;V;0;49;V;0;64;V;0;43;V;0;33;V;0;44;V;N;0;85;V;0;42;V;0;52;V;0;72;V;0;75;V;0;69
ASTURIAS;LLANES;999;DIOXIDO DE NITROGENO;33036999_8_8;2020;11;1;40;V;1;20;V;1;60;V;N;4;20;V;2;20;V;1;10;V;2;V;2;50;V;1;70;V;2;90;V;2;20;V;2;70;V;1;10;V;0;68;V;1;20;V;N;4;70;V;0;91;V;2;40;V;3;40;V;2;50;V;5;40;V
ASTURIAS;LLANES;999;OZONO;33036999_14_6;2020;11;62;V;69;V;79;V;80;V;65;V;65;V;75;V;80;V;75;V;70;V;62;V;69;V;74;V;78;V;79;V;80;V;N;60;V;79;V;74;V;59;V;61;V;60;V;67;V;71;V;60;V;56;V;63;V;70;V;58;V;N;C;;;
