PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANNO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31;TECNICA;ENVIADO
LLEIDA;TORMS (ELS);999;DIOXIDO DE NITROGENO;25224999_8_8;2020;1;3;10;V;6;V;6;40;V;5;V;3;90;V;3;50;V;2;70;V;5;V;7;V;6;70;V;3;20;V;3;10;V;7;80;V;5;50;V;5;50;V;4;50;V;3;50;V;3;30;V;2;90;V;3;50;V;N;4;80;V;4;V;3;80
ASTURIAS;LLANES;999;DIOXIDO DE NITROGENO;33036999_8_8;2020;1;1;30;V;3;70;V;2;50;V;2;30;V;2;V;2;50;V;3;50;V;2;60;V;1;60;V;1;80;V;1;30;V;1;60;V;2;10;V;1;80;V;1;80;V;1;10;V;2;30;V;N;N;1;50;V;N;N;3;V;5;80;V;3;V
TOLEDO;SAN PABLO DE LOS MONTES;999;PARTICULAS EN SUSPENSION <10?M;45153999_10_M;2019;2;5;V;4;V;4;V;7;V;5;V;7;V;9;V;5;V;7;V;6;V;9;V;15;V;13;V;18;V;19;V;18;V;15;V;27;V;37;V;46;V;21;V;26;V;40;V;25;V;17;V;9;V;11;V;12;V;0;N;0;N;0;N;N;
TOLEDO;SAN PABLO DE LOS MONTES;999;PARTICULAS EN SUSPENSION <2,5?M;45153999_9_M;2019;2;2;V;2;V;1;V;3;V;3;V;5;V;6;V;3;V;4;V;3;V;3;V;7;V;6;V;7;V;9;V;8;V;6;V;10;V;12;V;14;V;8;V;9;V;13;V;11;V;9;V;5;V;5;V;7;V;0;N;0;N;0;N;N;
ZAMORA;PEÑAUSENDE;999;DIOXIDO DE NITROGENO;49149999_8_8;2019;11;1;20;V;0;67;V;0;46;V;0;63;V;0;62;V;0;98;V;0;57;V;0;55;V;1;10;V;0;51;V;1;50;V;0;98;V;0;77;V;0;58;V;0;60;V;0;73;V;0;92;V;0;76;V;0;98;V;1;10;V;0;73;V;0
LLEIDA;TORMS (ELS);999;DIOXIDO DE NITROGENO;25224999_8_8;2019;11;2;30;V;1;90;V;1;50;V;1;40;V;1;60;V;1;30;V;2;V;1;40;V;1;20;V;0;72;V;1;20;V;1;20;V;1;70;V;1;80;V;1;80;V;1;90;V;1;70;V;1;90;V;2;70;V;3;10;V;3;20;V;2;60
BALEARES;MAHON;999;DIOXIDO DE NITROGENO;07032999_8_8;2020;1;3;50;V;2;10;V;6;20;V;9;20;V;14;V;2;60;V;8;70;V;2;10;V;1;80;V;2;60;V;1;30;V;2;V;4;90;V;2;60;V;4;20;V;6;10;V;3;10;V;2;80;V;2;10;V;1;40;V;1;10;V;1;80;V
BADAJOZ;BARCARROTA;999;OZONO;06016999_14_6;2020;1;23;V;27;V;46;V;42;V;37;V;31;V;36;V;36;V;31;V;47;V;47;V;42;V;39;V;59;V;76;V;72;V;55;V;60;V;66;V;61;V;55;V;52;V;62;V;53;V;49;V;34;V;51;V;57;V;40;V;59;V;58;V;C;
VALENCIA;ZARRA;999;DIOXIDO DE AZUFRE;46263999_1_38;2020;1;1;V;1;V;1;10;V;1;10;V;1;10;V;1;10;V;1;20;V;1;10;V;1;20;V;1;10;V;1;10;V;1;10;V;1;10;V;1;10;V;1;10;V;1;10;V;1;10;V;1;10;V;1;10;V;1;10;V;1;V;1;V;1;V
TOLEDO;SAN PABLO DE LOS MONTES;999;ARSENICO (PM10);45153999_17_M;2019;3;0;N;0;N;0;N;0;5;V;0;N;0;N;0;N;0;N;0;N;0;N;0;12;V;0;N;0;N;0;N;0;N;0;N;0;23;V;0;N;0;N;0;N;0;N;0;N;0;37;V;0;N;0;N;0;N;0;N;0;N;0;13;V;0
